Damon,Census-Designated Place,Brazoria,Texas
Danbury,City,Brazoria,Texas
Darrouzett,Town,Lipscomb,Texas
Dawson,Town,Navarro,Texas
Dayton,City,Liberty,Texas
Dayton Lakes,City,Liberty,Texas
De Kalb,City,Bowie,Texas
De Leon,City,Comanche,Texas
Dean,City,Clay,Texas
Decatur,City,Wise,Texas
DeCordova,City,Hood,Texas
Deer Park,City,Harris,Texas
Del Mar Heights,Census-Designated Place,Cameron,Texas
Del Rio,City,Val Verde,Texas
Del Sol,Census-Designated Place,San Patricio,Texas
Dell City,City,Hudspeth,Texas
Delmita,Census-Designated Place,Starr,Texas
Denison,City,Grayson,Texas
Denton,City,Denton,Texas
Denver City,Town,"5,270",Texas
Deport,City,743,Texas
DeSoto,City,Dallas,Texas
Detroit,Town,Red River,Texas
Devers,City,Liberty,Texas
Devine,City,Medina,Texas
Deweyville,Census-Designated Place,Newton,Texas
Diboll,City,Angelina,Texas
Dickens,City,Dickens,Texas
Dickinson,City,Galveston,Texas
Dilley,City,Frio,Texas
Dimmitt,City,Castro,Texas
DISH,Town,Denton,Texas
Dodd City,Town,Fannin,Texas
Dodson,Town,Collingsworth,Texas
Doffing,Census-Designated Place,Hidalgo,Texas
Domino,Town,Cass,Texas
Donna,City,Hidalgo,Texas
Doolittle,Census-Designated Place,Hidalgo,Texas
Dorchester,City,Grayson,Texas
Double Oak,Town,Denton,Texas
Douglassville,Town,Cass,Texas
Doyle,Census-Designated Place,San Patricio,Texas
Driftwood,Census-Designated Place,Hays,Texas
Dripping Springs,City,Hays,Texas
Driscoll,City,Nueces,Texas
Dublin,City,Erath,Texas
Dumas,City,Moore,Texas
Duncanville,City,Dallas,Texas
Eagle Lake,City,Colorado,Texas
Eagle Pass,City,Maverick,Texas
Early,City,Brown,Texas
Earth,City,Lamb,Texas
East Alto Bonito,Census-Designated Place,Starr,Texas
East Bernard,City,Wharton,Texas
East Lopez,Census-Designated Place,Starr,Texas
East Mountain,City,Upshur,Texas
East Tawakoni,City,Rains,Texas
Eastland,City,Eastland,Texas
Easton,City,401,Texas
Ector,City,Fannin,Texas
Edcouch,City,Hidalgo,Texas
Eden,City,Concho,Texas
Edgecliff Village,Town,Tarrant,Texas
Edgewater Estates,Census-Designated Place,San Patricio,Texas
Edgewood,Town,Van Zandt,Texas
Edinburg,City,Hidalgo,Texas
Edmonson,Town,Hale,Texas
Edna,City,Jackson,Texas
Edom,City,Van Zandt,Texas
Edroy,Census-Designated Place,San Patricio,Texas
Eidson Road,Census-Designated Place,Maverick,Texas
El Brazil,Census-Designated Place,Starr,Texas
El Camino Angosto,Census-Designated Place,Cameron,Texas
El Campo,City,Wharton,Texas
El Castillo,Census-Designated Place,Starr,Texas
El Cenizo,Census-Designated Place,Starr,Texas
El Cenizo,City,Webb,Texas
El Chaparral,Census-Designated Place,Starr,Texas
El Indio,Census-Designated Place,Maverick,Texas
El Lago,City,Harris,Texas
El Mesquite,Census-Designated Place,Starr,Texas
El Paso,City,El Paso,Texas
El Quiote,Census-Designated Place,Starr,Texas
El Rancho Vela,Census-Designated Place,Starr,Texas
El Refugio,Census-Designated Place,Starr,Texas
El Socio,Census-Designated Place,Starr,Texas
Elbert,Census-Designated Place,Throckmorton,Texas
Eldorado,City,Schleicher,Texas
Electra,City,Wichita,Texas
Elgin,City,"5,179",Texas
Elias-Fela Solis,Census-Designated Place,Starr,Texas
Elkhart,Town,Anderson,Texas
Elm Creek,Census-Designated Place,Maverick,Texas
Elmendorf,City,Bexar,Texas
Elmo,Census-Designated Place,Kaufman,Texas
Elsa,City,Hidalgo,Texas
Emerald Bay,Census-Designated Place,Smith,Texas
Emhouse,Town,Navarro,Texas
Emory,City,Rains,Texas
Encantada-Ranchito-El Calaboz,Census-Designated Place,Cameron,Texas
Enchanted Oaks,Town,Henderson,Texas
Encinal,City,La Salle,Texas
Encino,Census-Designated Place,Brooks,Texas
Ennis,City,Ellis,Texas
Escobar I,Census-Designated Place,Starr,Texas
Escobares,City,Starr,Texas
Estelline,Town,Hall,Texas
Eugenio Saenz,Census-Designated Place,Starr,Texas
Euless,City,Tarrant,Texas
Eureka,City,Navarro,Texas
Eustace,City,Henderson,Texas
Evadale,Census-Designated Place,Jasper,Texas
Evant,Town,444,Texas
Evergreen,Census-Designated Place,Starr,Texas
Everman,City,Tarrant,Texas
Fabens,Census-Designated Place,El Paso,Texas
Fabrica,Census-Designated Place,Maverick,Texas
Fair Oaks Ranch,City,"1,886",Texas
Fairchilds,Village,Fort Bend,Texas
Fairfield,City,Freestone,Texas
Fairview,Town,Collin,Texas
Falcon Heights,Census-Designated Place,Starr,Texas
Falcon Lake Estates,Census-Designated Place,Zapata,Texas
Falcon Mesa,Census-Designated Place,Zapata,Texas
Falcon Village,Census-Designated Place,Starr,Texas
Falconaire,Census-Designated Place,Starr,Texas
Falfurrias,City,Brooks,Texas
Falls City,City,Karnes,Texas
Falman,Census-Designated Place,San Patricio,Texas
Fannett,Census-Designated Place,Jefferson,Texas
Farmers Branch,City,Dallas,Texas
Farmersville,City,Collin,Texas
Farwell,City,Parmer,Texas
Fate,City,Rockwall,Texas
Fayetteville,City,Fayette,Texas
Faysville,Census-Designated Place,Hidalgo,Texas
Fernando Salinas,Census-Designated Place,Starr,Texas
Ferris,City,"2,398",Texas
Fifth Street,Census-Designated Place,Fort Bend,Texas
Flatonia,Town,Fayette,Texas
Flor del Rio,Census-Designated Place,Starr,Texas
Florence,City,Williamson,Texas
Floresville,City,Wilson,Texas
Flowella,Census-Designated Place,Brooks,Texas
Flower Mound,Town,"15,747",Texas
Floydada,City,Floyd,Texas
Follett,City,Lipscomb,Texas
Forest Hill,City,Tarrant,Texas
Forney,City,Kaufman,Texas
Forsan,City,Howard,Texas
Fort Bliss,Census-Designated Place,El Paso,Texas
Fort Clark Springs,Census-Designated Place,Kinney,Texas
Fort Davis,Census-Designated Place,Jeff Davis,Texas
Fort Hancock,Census-Designated Place,Hudspeth,Texas
Fort Hood,Census-Designated Place,"35,580",Texas
Fort Stockton,City,Pecos,Texas
Fort Worth,City,"448,181",Texas
Four Corners,Census-Designated Place,Fort Bend,Texas
Four Points,Census-Designated Place,Webb,Texas
Fowlerton,Census-Designated Place,La Salle,Texas
Franklin,City,Robertson,Texas
Frankston,Town,Anderson,Texas
Fredericksburg,City,Gillespie,Texas
Freeport,City,Brazoria,Texas
Freer,City,Duval,Texas
Fresno,Census-Designated Place,Fort Bend,Texas
Friendswood,City,"22,809",Texas
Friona,City,Parmer,Texas
Frisco,City,"6,517",Texas
Fritch,City,"2,335",Texas
Fronton,Census-Designated Place,Starr,Texas
Fronton Ranchettes,Census-Designated Place,Starr,Texas
Frost,City,Navarro,Texas
Fruitvale,City,Van Zandt,Texas
Fulshear,City,Fort Bend,Texas
Fulton,Town,Aransas,Texas
Gail,Census-Designated Place,Borden,Texas
Gainesville,City,Cooke,Texas
Galena Park,City,Harris,Texas
Gallatin,City,Cherokee,Texas
Galveston,City,Galveston,Texas
Ganado,City,Jackson,Texas
Garceno,Census-Designated Place,Starr,Texas
Garciasville,Census-Designated Place,Starr,Texas
Garden City,Census-Designated Place,Glasscock,Texas
Garden Ridge,City,Comal,Texas
Gardendale,Census-Designated Place,Ector,Texas
Garfield,Census-Designated Place,Travis,Texas
Garland,City,"180,844",Texas
Garrett,Town,Ellis,Texas
Garrison,City,Nacogdoches,Texas
Gary City,Town,Panola,Texas
Garza-Salinas II,Census-Designated Place,Starr,Texas
Gatesville,City,Coryell,Texas
George West,City,Live Oak,Texas
Georgetown,City,Williamson,Texas
Geronimo,Census-Designated Place,Guadalupe,Texas
Gholson,City,McLennan,Texas
Giddings,City,Lee,Texas
Gilmer,City,Upshur,Texas
Girard,Census-Designated Place,Kent,Texas
Gladewater,City,"6,045",Texas
Glen Rose,City,Somervell,Texas
Glenn Heights,City,"4,517",Texas
Glidden,Census-Designated Place,Colorado,Texas
Godley,City,Johnson,Texas
Goldsmith,City,Ector,Texas
Goldthwaite,City,Mills,Texas
Goliad,City,Goliad,Texas
Golinda,City,347,Texas
Gonzales,City,Gonzales,Texas
Goodlow,City,Navarro,Texas
Goodrich,City,Polk,Texas
Gordon,City,Palo Pinto,Texas
Goree,City,Knox,Texas
Gorman,City,Eastland,Texas
Graford,City,Palo Pinto,Texas
Graham,City,Young,Texas
Granbury,City,Hood,Texas
Grand Acres,Census-Designated Place,Cameron,Texas
Grand Prairie,City,"99,496",Texas
Grand Saline,City,Van Zandt,Texas
Grandfalls,Town,Ward,Texas
Grandview,City,Johnson,Texas
Granger,City,Williamson,Texas
Granite Shoals,City,Burnet,Texas
Granjeno,City,Hidalgo,Texas
Grape Creek,Census-Designated Place,Tom Green,Texas
Grapeland,City,Houston,Texas
Grapevine,City,"29,545",Texas
Grays Prairie,Village,Kaufman,Texas
Greatwood,Census-Designated Place,Fort Bend,Texas
Green Valley Farms,Census-Designated Place,Cameron,Texas
Greenville,City,Hunt,Texas
Gregory,City,San Patricio,Texas
Grey Forest,City,Bexar,Texas
Groesbeck,City,Limestone,Texas
Groom,Town,Carson,Texas
Groves,City,Jefferson,Texas
Groveton,City,Trinity,Texas
Gruver,City,Hansford,Texas
Guadalupe-Guerra,Census-Designated Place,Starr,Texas
Guerra,Census-Designated Place,Jim Hogg,Texas
Gun Barrel City,City,Henderson,Texas
Gunter,City,Grayson,Texas
Gustine,Town,Comanche,Texas
Guthrie,Census-Designated Place,King,Texas
Gutierrez,Census-Designated Place,Starr,Texas
H. Cuellar Estates,Census-Designated Place,Starr,Texas
Hackberry,Town,Denton,Texas
Hale Center,City,Hale,Texas
Hallettsville,City,Lavaca,Texas
Hallsburg,City,McLennan,Texas
Hallsville,City,Harrison,Texas
Haltom City,City,Tarrant,Texas
Hamilton,City,Hamilton,Texas
Hamlin,City,"2,845",Texas
Happy,Town,588,Texas
Hardin,City,Liberty,Texas
Hargill,Census-Designated Place,Hidalgo,Texas
Harker Heights,City,Bell,Texas
Harlingen,City,Cameron,Texas
Harper,Census-Designated Place,Gillespie,Texas
Hart,City,Castro,Texas
Hartley,Census-Designated Place,Hartley,Texas
Haskell,City,Haskell,Texas
Haslet,City,865,Texas
Havana,Census-Designated Place,Hidalgo,Texas
Hawk Cove,City,Hunt,Texas
Hawkins,City,Wood,Texas
Hawley,City,Jones,Texas
Hays,City,Hays,Texas
Hearne,City,Robertson,Texas
Heath,City,Rockwall,Texas
Hebbronville,Census-Designated Place,Jim Hogg,Texas
Hebron,Town,Denton,Texas
Hedley,City,Donley,Texas
Hedwig Village,City,Harris,Texas
Heidelberg,Census-Designated Place,Hidalgo,Texas
Helotes,City,Bexar,Texas
Hemphill,City,Sabine,Texas
Hempstead,City,Waller,Texas
Henderson,City,Rusk,Texas
Henrietta,City,Clay,Texas
Hereford,City,Deaf Smith,Texas
Hermleigh,Census-Designated Place,Scurry,Texas
Hewitt,City,McLennan,Texas
Hickory Creek,Town,Denton,Texas
Hico,City,Hamilton,Texas
Hidalgo,City,Hidalgo,Texas
Hideaway,City,Smith,Texas
Higgins,City,Lipscomb,Texas
Highland Haven,City,Burnet,Texas
Highland Park,Town,Dallas,Texas
Highland Village,City,Denton,Texas
Highlands,Census-Designated Place,Harris,Texas
Hill Country Village,City,Bexar,Texas
Hillcrest,Village,Brazoria,Texas
Hillsboro,City,Hill,Texas
Hillside Acres,Census-Designated Place,Webb,Texas
Hilltop,Census-Designated Place,Frio,Texas
Hilltop,Census-Designated Place,Starr,Texas
Hilltop Lakes,Census-Designated Place,Leon,Texas
Hilshire Village,City,Harris,Texas
Hitchcock,City,Galveston,Texas
Holiday Beach,Census-Designated Place,Aransas,Texas
Holiday Lakes,Town,Brazoria,Texas
Holland,Town,Bell,Texas
Holliday,City,Archer,Texas
Holly Lake Ranch,Census-Designated Place,Wood,Texas
Hollywood Park,Town,Bexar,Texas
Homestead Meadows North,Census-Designated Place,El Paso,Texas
Homestead Meadows South,Census-Designated Place,El Paso,Texas
Hondo,City,Medina,Texas
Honey Grove,City,Fannin,Texas
Hooks,City,Bowie,Texas
Horizon City,City,El Paso,Texas
Hornsby Bend,Census-Designated Place,Travis,Texas
Horseshoe Bay,City,...,Texas
Horseshoe Bend,Census-Designated Place,Parker,Texas
Houston,City,"1,697,873",Texas
Howardwick,City,Donley,Texas
Howe,Town,Grayson,Texas
Hubbard,City,Hill,Texas
Hudson,City,Angelina,Texas
Hudson Bend,Census-Designated Place,Travis,Texas
Hudson Oaks,City,Parker,Texas
Hughes Springs,City,"1,820",Texas
Hull,Census-Designated Place,Liberty,Texas
Humble,City,Harris,Texas
Hungerford,Census-Designated Place,Wharton,Texas
Hunters Creek Village,City,Harris,Texas
Huntington,City,Angelina,Texas
Huntsville,City,Walker,Texas
Hurst,City,Tarrant,Texas
Hutchins,City,Dallas,Texas
Hutto,City,Williamson,Texas
Huxley,City,Shelby,Texas
Iago,Census-Designated Place,Wharton,Texas
Idalou,City,Lubbock,Texas
Iglesia Antigua,Census-Designated Place,Cameron,Texas
Impact,Town,Taylor,Texas
Imperial,Census-Designated Place,Pecos,Texas
Indian Hills,Census-Designated Place,Hidalgo,Texas
Indian Lake,Town,Cameron,Texas
Indian Springs,Census-Designated Place,Polk,Texas
Indio,Census-Designated Place,Starr,Texas
Industry,City,Austin,Texas
Inez,Census-Designated Place,Victoria,Texas
Ingleside,City,"5,707",Texas
Ingleside on the Bay,City,San Patricio,Texas
Ingram,City,Kerr,Texas
Iola,City,Grimes,Texas
Iowa Colony,Village,Brazoria,Texas
Iowa Park,City,Wichita,Texas
Iraan,City,Pecos,Texas
Iredell,City,Bosque,Texas
Irving,City,Dallas,Texas
Italy,Town,Ellis,Texas
Itasca,City,Hill,Texas
Ivanhoe,City,Tyler,Texas
Ivanhoe North,City,Tyler,Texas
Jacinto City,City,Harris,Texas
Jacksboro,City,Jack,Texas
Jacksonville,City,Cherokee,Texas
Jamaica Beach,City,Galveston,Texas
Jardin de San Julian,Census-Designated Place,Starr,Texas
Jarrell,City,Williamson,Texas
Jasper,City,Jasper,Texas
Jayton,City,Kent,Texas
Jefferson,City,Marion,Texas
Jersey Village,City,Harris,Texas
Jewett,City,Leon,Texas
JF Villarreal,Census-Designated Place,Starr,Texas
Joaquin,City,Shelby,Texas
Johnson City,City,Blanco,Texas
Jolly,City,Clay,Texas
Jollyville,Census-Designated Place,...,Texas
Jones Creek,Village,Brazoria,Texas
Jonestown,City,Travis,Texas
Josephine,City,503,Texas
Joshua,City,Johnson,Texas
Jourdanton,City,Atascosa,Texas
Juarez,Census-Designated Place,Cameron,Texas
Junction,City,Kimble,Texas
Justin,City,Denton,Texas
K-Bar Ranch,Census-Designated Place,Jim Wells,Texas
Karnes City,City,Karnes,Texas
Katy,City,"7,959",Texas
Kaufman,City,Kaufman,Texas
Keene,City,Johnson,Texas
Keller,City,Tarrant,Texas
Kemah,City,Galveston,Texas
Kemp,City,Kaufman,Texas
Kempner,City,Lampasas,Texas
Kendleton,City,Fort Bend,Texas
Kenedy,City,Karnes,Texas
Kenefick,Town,Liberty,Texas
Kennard,City,Houston,Texas
Kennedale,City,Tarrant,Texas
Kerens,City,Navarro,Texas
Kermit,City,Winkler,Texas
Kerrville,City,Kerr,Texas
Kilgore,City,"11,330",Texas
Killeen,City,Bell,Texas
Kingsbury,Census-Designated Place,Guadalupe,Texas
Kingsland,Census-Designated Place,Llano,Texas
Kingsville,City,Kleberg,Texas
Kirby,City,Bexar,Texas
Kirbyville,City,Jasper,Texas
Kirvin,Town,Freestone,Texas
Knippa,Census-Designated Place,Uvalde,Texas
Knollwood,City,Grayson,Texas
Knox City,Town,Knox,Texas
Kosse,Town,Limestone,Texas
Kountze,City,Hardin,Texas
Kress,City,Swisher,Texas
Krugerville,City,Denton,Texas
Krum,City,Denton,Texas
Kurten,Town,Brazos,Texas
Kyle,City,Hays,Texas
La Blanca,Census-Designated Place,Hidalgo,Texas
La Carla,Census-Designated Place,Starr,Texas
La Casita,Census-Designated Place,Starr,Texas
La Chuparosa,Census-Designated Place,Starr,Texas
La Coma,Census-Designated Place,Webb,Texas
La Escondida,Census-Designated Place,Starr,Texas
La Esperanza,Census-Designated Place,Starr,Texas
La Feria,City,Cameron,Texas
La Feria North,Census-Designated Place,Cameron,Texas
La Grange,City,Fayette,Texas
La Grulla,City,Starr,Texas
La Homa,Census-Designated Place,Hidalgo,Texas
La Joya,City,Hidalgo,Texas
La Loma de Falcon,Census-Designated Place,Starr,Texas
La Marque,City,Galveston,Texas
La Minita,Census-Designated Place,Starr,Texas
La Paloma,Census-Designated Place,Cameron,Texas
La Paloma Addition,Census-Designated Place,San Patricio,Texas
La Paloma Ranchettes,Census-Designated Place,Starr,Texas
La Paloma-Lost Creek,Census-Designated Place,Nueces,Texas
La Porte,City,Harris,Texas
La Presa,Census-Designated Place,Webb,Texas
La Pryor,Census-Designated Place,Zavala,Texas
La Puerta,Census-Designated Place,Starr,Texas
La Rosita,Census-Designated Place,Starr,Texas
La Tina Ranch,Census-Designated Place,Cameron,Texas
La Vernia,City,Wilson,Texas
La Victoria,Census-Designated Place,Starr,Texas
La Villa,City,Hidalgo,Texas
La Ward,City,Jackson,Texas
Lackland AFB,Census-Designated Place,Bexar,Texas
LaCoste,City,Medina,Texas
Lacy-Lakeview,City,McLennan,Texas
Ladonia,Town,Fannin,Texas
Lago,Census-Designated Place,Cameron,Texas
Lago Vista,City,Travis,Texas
Lago Vista,Census-Designated Place,Starr,Texas
Laguna Heights,Census-Designated Place,Cameron,Texas
Laguna Park,Census-Designated Place,Bosque,Texas
Laguna Seca,Census-Designated Place,Hidalgo,Texas
Laguna Vista,Town,Cameron,Texas
Lake Bridgeport,City,Wise,Texas
Lake Brownwood,Census-Designated Place,Brown,Texas
Lake Bryan,Census-Designated Place,Brazos,Texas
Lake Cherokee,Census-Designated Place,Rusk,Texas
Lake City,Town,San Patricio,Texas
Lake Colorado City,Census-Designated Place,Mitchell,Texas
Lake Dallas,City,Denton,Texas
Lake Dunlap,Census-Designated Place,Guadalupe,Texas
Lake Jackson,City,Brazoria,Texas
Lake Kiowa,Census-Designated Place,Cooke,Texas
Lake Medina Shores,Census-Designated Place,Bandera,Texas
Lake Meredith Estates,Census-Designated Place,Hutchinson,Texas
Lake Tanglewood,Village,Randall,Texas
Lake View,Census-Designated Place,Val Verde,Texas
Lake Worth,City,Tarrant,Texas
Lakehills,Census-Designated Place,Bandera,Texas
Lakeport,City,Gregg,Texas
Lakeshore Gardens-Hidden Acres,Census-Designated Place,San Patricio,Texas
Lakeside,Town,San Patricio,Texas
Lakeside,Town,Tarrant,Texas
Lakeside City,Town,Archer,Texas
Lakeview,Town,Hall,Texas
Lakeway,City,Travis,Texas
Lakewood Village,City,Denton,Texas
Lamar,Census-Designated Place,Aransas,Texas
Lamesa,City,Dawson,Texas
Lampasas,City,Lampasas,Texas
Lancaster,City,Dallas,Texas
Lantana,Census-Designated Place,Denton,Texas
Laredo,City,Webb,Texas
Laredo Ranchettes,Census-Designated Place,Webb,Texas
Laredo Ranchettes West,Census-Designated Place,Webb,Texas
Las Haciendas,Census-Designated Place,Webb,Texas
Las Lomas,Census-Designated Place,Starr,Texas
Las Lomitas,Census-Designated Place,Jim Hogg,Texas
Las Palmas,Census-Designated Place,Zapata,Texas
Las Palmas II,Census-Designated Place,Cameron,Texas
Las Pilas,Census-Designated Place,Maverick,Texas
Las Quintas Fronterizas,Census-Designated Place,Maverick,Texas
Lasana,Census-Designated Place,Cameron,Texas
Lasara,Census-Designated Place,Willacy,Texas
Latexo,City,Houston,Texas
Laughlin AFB,Census-Designated Place,Val Verde,Texas
Laureles,Census-Designated Place,Cameron,Texas
Lavon,City,Collin,Texas
Lawn,Town,Taylor,Texas
League City,City,"29,903",Texas
Leakey,City,Real,Texas
Leander,City,...,Texas
Leary,City,Bowie,Texas
Lefors,Town,Gray,Texas
Leming,Census-Designated Place,Atascosa,Texas
Leon Valley,City,Bexar,Texas
Leona,City,Leon,Texas
Leonard,City,Fannin,Texas
Leroy,City,McLennan,Texas
Levelland,City,Hockley,Texas
Lewisville,City,"46,375",Texas
Lexington,Town,Lee,Texas
Liberty,City,Liberty,Texas
Liberty City,Census-Designated Place,Gregg,Texas
Liberty Hill,City,Williamson,Texas
Lincoln Park,Town,Denton,Texas
Lindale,City,Smith,Texas
Linden,City,Cass,Texas
Lindsay,City,Cooke,Texas
Lindsay,Census-Designated Place,Reeves,Texas
Linn,Census-Designated Place,Hidalgo,Texas
Lipan,City,Hood,Texas
Lipscomb,Census-Designated Place,Lipscomb,Texas
Little Elm,City,Denton,Texas
Little River-Academy,City,Bell,Texas
Littlefield,City,Lamb,Texas
Live Oak,City,Bexar,Texas
Liverpool,City,Brazoria,Texas
Livingston,Town,Polk,Texas
Llano,City,Llano,Texas
Llano Grande,Census-Designated Place,Hidalgo,Texas
Lockhart,City,Caldwell,Texas
Lockney,Town,Floyd,Texas
Log Cabin,City,Henderson,Texas
Lolita,Census-Designated Place,Jackson,Texas
Loma Grande,Census-Designated Place,Zavala,Texas
Loma Linda,Census-Designated Place,San Patricio,Texas
Loma Linda East,Census-Designated Place,Jim Wells,Texas
Loma Linda East,Census-Designated Place,Starr,Texas
Loma Linda West,Census-Designated Place,Starr,Texas
Loma Vista,Census-Designated Place,Starr,Texas
Lometa,City,Lampasas,Texas
Lone Oak,City,Hunt,Texas
Lone Star,City,Morris,Texas
Longoria,Census-Designated Place,Starr,Texas
Longview,City,"70,535",Texas
Loop,Census-Designated Place,Gaines,Texas
Lopeño,Census-Designated Place,Zapata,Texas
Lopezville,Census-Designated Place,Hidalgo,Texas
Loraine,Town,Mitchell,Texas
Lorena,City,McLennan,Texas
Lorenzo,City,Crosby,Texas
Los Altos,Census-Designated Place,Webb,Texas
Los Alvarez,Census-Designated Place,Starr,Texas
Los Angeles,Census-Designated Place,Willacy,Texas
Los Arcos,Census-Designated Place,Webb,Texas
Los Arrieros,Census-Designated Place,Starr,Texas
Los Barreras,Census-Designated Place,Starr,Texas
Los Centenarios,Census-Designated Place,Webb,Texas
Los Corralitos,Census-Designated Place,Webb,Texas
Los Ebanos,Census-Designated Place,Hidalgo,Texas
Los Ebanos,Census-Designated Place,Starr,Texas
Los Fresnos,City,Cameron,Texas
Los Fresnos,Census-Designated Place,Webb,Texas
Los Huisaches,Census-Designated Place,Webb,Texas
Los Indios,Town,Cameron,Texas
Los Lobos,Census-Designated Place,Zapata,Texas
Los Minerales,Census-Designated Place,Webb,Texas
Los Nopalitos,Census-Designated Place,Webb,Texas
Los Veteranos I,Census-Designated Place,Webb,Texas
Los Veteranos II,Census-Designated Place,Starr,Texas
Los Ybanez,City,Dawson,Texas
Lost Creek,Census-Designated Place,Travis,Texas
Lott,City,Falls,Texas
Louise,Census-Designated Place,Wharton,Texas
Lovelady,City,Houston,Texas
Lowry Crossing,City,Collin,Texas
Lozano,Census-Designated Place,Cameron,Texas
Lubbock,City,Lubbock,Texas
Lucas,City,Collin,Texas
Lueders,City,365,Texas
Lufkin,City,Angelina,Texas
Luling,City,Caldwell,Texas
Lumberton,City,Hardin,Texas
Lyford,City,Willacy,Texas
Lytle,City,"2,094",Texas
Mabank,Town,...,Texas
Macdona,Census-Designated Place,Bexar,Texas
Madisonville,City,Madison,Texas
Magnolia,City,Montgomery,Texas
Malakoff,City,Henderson,Texas
Malone,Town,Hill,Texas
Manchaca,Census-Designated Place,Travis,Texas
Manor,City,Travis,Texas
Mansfield,City,"15,500",Texas
Manuel Garcia,Census-Designated Place,Starr,Texas
Manuel Garcia II,Census-Designated Place,Starr,Texas
Manvel,City,Brazoria,Texas
Marathon,Census-Designated Place,Brewster,Texas
Marble Falls,City,Burnet,Texas
Marfa,City,Presidio,Texas
Marietta,Town,Cass,Texas
Marion,City,Guadalupe,Texas
Markham,Census-Designated Place,Matagorda,Texas
Marlin,City,Falls,Texas
Marquez,City,Leon,Texas
Marshall,City,Harrison,Texas
Mart,City,"2,037",Texas
Martindale,City,Caldwell,Texas
Martinez,Census-Designated Place,Starr,Texas
Mason,City,Mason,Texas
Matador,Town,Motley,Texas
Matagorda,Census-Designated Place,Matagorda,Texas
Mathis,City,San Patricio,Texas
Maud,City,Bowie,Texas
Mauriceville,Census-Designated Place,Orange,Texas
Maypearl,City,Ellis,Texas
McAllen,City,Hidalgo,Texas
McCamey,City,Upton,Texas
McDade,Census-Designated Place,Bastrop,Texas
McGregor,City,"4,516",Texas
McKinney,City,Collin,Texas
McKinney Acres,Census-Designated Place,Andrews,Texas
McLean,Town,Gray,Texas
McLendon-Chisholm,City,Rockwall,Texas
McQueeney,Census-Designated Place,Guadalupe,Texas
Meadow,Town,Terry,Texas
Meadowlakes,City,Burnet,Texas
Meadows Place,City,Fort Bend,Texas
Medina,Census-Designated Place,Zapata,Texas
Megargel,Town,Archer,Texas
Melissa,City,Collin,Texas
Melvin,Town,McCulloch,Texas
Memphis,City,Hall,Texas
Menard,City,Menard,Texas
Mentone,Census-Designated Place,Loving,Texas
Mercedes,City,Hidalgo,Texas
Meridian,City,Bosque,Texas
Merkel,Town,Taylor,Texas
Mertens,Town,Hill,Texas
Mertzon,City,Irion,Texas
Mesquite,City,"101,753",Texas
Mesquite,Census-Designated Place,Starr,Texas
Mexia,City,Limestone,Texas
Mi Ranchito Estate,Census-Designated Place,Starr,Texas
Miami,City,Roberts,Texas
Midland,City,"89,393",Texas
Midlothian,City,Ellis,Texas
Midway,City,Madison,Texas
Midway North,Census-Designated Place,Hidalgo,Texas
Midway South,Census-Designated Place,Hidalgo,Texas
Miguel Barrera,Census-Designated Place,Starr,Texas
Mikes,Census-Designated Place,Starr,Texas
Mila Doce,Census-Designated Place,Hidalgo,Texas
Milam,Census-Designated Place,Sabine,Texas
Milano,City,Milam,Texas
Mildred,Town,Navarro,Texas
Miles,City,Runnels,Texas
Milford,Town,Ellis,Texas
Miller's Cove,Town,Titus,Texas
Millican,Town,Brazos,Texas
Millsap,Town,Parker,Texas
Mineola,City,Wood,Texas
Mineral Wells,City,"15,075",Texas
Mingus,City,Palo Pinto,Texas
Mirando City,Census-Designated Place,Webb,Texas
Mission,City,Hidalgo,Texas
Mission Bend,Census-Designated Place,...,Texas
Missouri City,City,"36,262",Texas
Mobeetie,City,Wheeler,Texas
Mobile City,City,Rockwall,Texas
Monahans,City,"8,125",Texas
Mont Belvieu,City,"1,431",Texas
Montague,Census-Designated Place,Montague,Texas
Monte Alto,Census-Designated Place,Hidalgo,Texas
Montgomery,City,Montgomery,Texas
Moody,City,McLennan,Texas
Moore,Census-Designated Place,Frio,Texas
Moore Station,City,Henderson,Texas
Moraida,Census-Designated Place,Starr,Texas
Morales-Sanchez,Census-Designated Place,Zapata,Texas
Moran,City,Shackelford,Texas
Morgan,City,Bosque,Texas
Morgan Farm,Census-Designated Place,San Patricio,Texas
Morgan's Point,City,Harris,Texas
Morgan's Point Resort,City,Bell,Texas
Morning Glory,Census-Designated Place,El Paso,Texas
Morse,Census-Designated Place,Hansford,Texas
Morton,City,Cochran,Texas
Moulton,Town,Lavaca,Texas
Mount Calm,City,Hill,Texas
Mount Enterprise,City,Rusk,Texas
Mount Pleasant,City,Titus,Texas
Mount Vernon,Town,Franklin,Texas
Mountain City,City,Hays,Texas
Muenster,City,Cooke,Texas
Muleshoe,City,Bailey,Texas
Mullin,Town,Mills,Texas
Munday,City,Knox,Texas
Muniz,Census-Designated Place,Hidalgo,Texas
Murchison,City,Henderson,Texas
Murillo,Census-Designated Place,Hidalgo,Texas
Murphy,City,Collin,Texas
Mustang,Town,Navarro,Texas
Mustang Ridge,City,574,Texas
Myrtle Springs,Census-Designated Place,Van Zandt,Texas
Nacogdoches,City,Nacogdoches,Texas
Naples,City,Morris,Texas
