Natural Bridge,Town,Winston,Alabama
Nauvoo,Town,240,Alabama
Nectar,Town,Blount,Alabama
Needham,Town,Choctaw,Alabama
New Brockton,Town,Coffee,Alabama
New Hope,City,Madison,Alabama
New Market,Census-Designated Place,Madison,Alabama
New Site,Town,Tallapoosa,Alabama
New Union,Census-Designated Place,Etowah,Alabama
Newbern,Town,Hale,Alabama
Newton,Town,Dale,Alabama
Newville,Town,Henry,Alabama
North Courtland,Town,Lawrence,Alabama
North Johns,Town,Jefferson,Alabama
Northport,City,Tuscaloosa,Alabama
Notasulga,Town,980,Alabama
Oak Grove,Town,Talladega,Alabama
Oak Hill,Town,Wilcox,Alabama
Oakman,Town,Walker,Alabama
Odenville,Town,St. Clair,Alabama
Ohatchee,Town,Calhoun,Alabama
Oneonta,City,Blount,Alabama
Onycha,Town,Covington,Alabama
Opelika,City,Lee,Alabama
Opp,City,Covington,Alabama
Orange Beach,City,Baldwin,Alabama
Orrville,Town,Dallas,Alabama
Our Town,Census-Designated Place,Tallapoosa,Alabama
Owens Cross Roads,Town,Madison,Alabama
Oxford,City,...,Alabama
Ozark,City,Dale,Alabama
Paint Rock,Town,Jackson,Alabama
Panola,Census-Designated Place,Sumter,Alabama
Parrish,Town,Walker,Alabama
Pelham,City,Shelby,Alabama
Pell City,City,St. Clair,Alabama
Pennington,Town,Choctaw,Alabama
Penton,Census-Designated Place,Chambers,Alabama
Perdido Beach,Town,Baldwin,Alabama
Peterman,Census-Designated Place,Monroe,Alabama
Petrey,Town,Crenshaw,Alabama
Phenix City,City,"25,739",Alabama
Phil Campbell,Town,Franklin,Alabama
Pickensville,Town,Pickens,Alabama
Piedmont,City,"5,543",Alabama
Pike Road,Town,Montgomery,Alabama
Pinckard,Town,Dale,Alabama
Pine Apple,Town,Wilcox,Alabama
Pine Hill,Town,Wilcox,Alabama
Pine Level,Census-Designated Place,Autauga,Alabama
Pine Ridge,Town,DeKalb,Alabama
Pinson,City,Jefferson,Alabama
Pisgah,Town,Jackson,Alabama
Pleasant Grove,City,Jefferson,Alabama
Pleasant Groves,Town,Jackson,Alabama
Point Clear,Census-Designated Place,Baldwin,Alabama
Pollard,Town,Escambia,Alabama
Powell,Town,DeKalb,Alabama
Prattville,City,...,Alabama
Priceville,Town,Morgan,Alabama
Prichard,City,Mobile,Alabama
Providence,Town,Marengo,Alabama
Putnam,Census-Designated Place,Marengo,Alabama
Ragland,Town,St. Clair,Alabama
Rainbow City,City,Etowah,Alabama
Rainsville,City,DeKalb,Alabama
Ranburne,Town,Cleburne,Alabama
Ray,Census-Designated Place,Coosa,Alabama
Red Bay,City,Franklin,Alabama
Red Level,Town,Covington,Alabama
Redland,Census-Designated Place,Elmore,Alabama
Redstone Arsenal,Census-Designated Place,Madison,Alabama
Reece City,Town,Etowah,Alabama
Reeltown,Census-Designated Place,Tallapoosa,Alabama
Reform,Town,Pickens,Alabama
Rehobeth,Town,Houston,Alabama
Repton,Town,Conecuh,Alabama
Ridgeville,Town,Etowah,Alabama
River Falls,Town,Covington,Alabama
Riverside,Town,St. Clair,Alabama
Riverview,Town,Escambia,Alabama
Roanoke,City,Randolph,Alabama
Robertsdale,City,Baldwin,Alabama
Rock Creek,Census-Designated Place,Jefferson,Alabama
Rock Mills,Census-Designated Place,Randolph,Alabama
Rockford,Town,Coosa,Alabama
Rockville,Census-Designated Place,Clarke,Alabama
Rogersville,Town,Lauderdale,Alabama
Rosa,Town,Blount,Alabama
Russellville,City,Franklin,Alabama
Rutledge,Town,Crenshaw,Alabama
Saks,Census-Designated Place,Calhoun,Alabama
Samson,City,Geneva,Alabama
Sand Rock,Town,487,Alabama
Sanford,Town,Covington,Alabama
Saraland,City,Mobile,Alabama
Sardis City,Town,Etowah,Alabama
Satsuma,City,Mobile,Alabama
Scottsboro,City,Jackson,Alabama
Section,Town,Jackson,Alabama
Selma,City,Dallas,Alabama
Selmont-West Selmont,Census-Designated Place,Dallas,Alabama
Sheffield,City,Colbert,Alabama
Shelby,Census-Designated Place,Shelby,Alabama
Shiloh,Town,DeKalb,Alabama
Shoal Creek,Census-Designated Place,Shelby,Alabama
Shorter,Town,Macon,Alabama
Silas,Town,Choctaw,Alabama
